date,estimated_units_sold,last_known_price
2025-03-20,38,12.12
2025-03-21,30,12.12
2025-03-22,32,12.12
2025-03-23,40,12.11
2025-03-24,39,12.1
2025-03-25,50,12.08
2025-03-26,58,12.08
2025-03-27,51,12.3
2025-03-28,47,12.3
2025-03-29,42,12.3
2025-03-30,39,12.3
2025-03-31,37,12.28
2025-04-01,48,11.92
2025-04-02,57,11.92
2025-04-03,47,11.92
2025-04-04,38,11.92
2025-04-05,46,11.92
2025-04-06,47,11.92
2025-04-07,44,11.92
2025-04-08,48,11.92
2025-04-09,45,11.92
2025-04-10,47,11.92
2025-04-11,49,11.92
2025-04-12,46,11.92
2025-04-13,52,11.92
2025-04-14,50,11.92
2025-04-15,50,11.92
2025-04-16,54,11.92
2025-04-17,43,11.92
2025-04-18,44,11.92
2025-04-19,41,11.92
2025-04-20,42,11.92
2025-04-21,42,11.92
2025-04-22,48,11.92
2025-04-23,52,11.78
2025-04-24,51,11.92
2025-04-25,60,11.92
2025-04-26,47,11.92
2025-04-27,49,11.92
2025-04-28,46,11.92
2025-04-29,57,11.92
2025-04-30,68,11.91
2025-05-01,59,11.92
2025-05-02,56,11.92
2025-05-03,59,11.91
2025-05-04,56,11.92
2025-05-05,49,11.92
2025-05-06,51,11.91
2025-05-07,58,11.91
2025-05-08,50,11.92
2025-05-09,49,11.91
2025-05-10,49,11.93
2025-05-11,44,11.93
2025-05-12,41,11.91
2025-05-13,43,11.92
2025-05-14,46,11.92
2025-05-15,49,11.91
2025-05-16,48,11.92
2025-05-17,49,11.91
2025-05-18,47,11.92
2025-05-19,44,11.92
2025-05-20,49,11.91
2025-05-21,51,11.91
2025-05-22,54,11.91
2025-05-23,50,11.91
2025-05-24,48,11.91
2025-05-25,46,11.91
2025-05-26,51,11.92
2025-05-27,46,11.91
2025-05-28,46,11.92
2025-05-29,52,11.92
2025-05-30,50,7.54
2025-05-31,52,11.91
2025-06-01,47,11.91
2025-06-02,50,11.78
2025-06-03,51,11.91
2025-06-04,51,11.91
2025-06-05,55,11.92
2025-06-06,55,11.91
2025-06-07,55,11.91
2025-06-08,54,11.91
2025-06-09,56,11.93
2025-06-10,51,11.78
2025-06-11,52,11.92
2025-06-12,58,11.91
2025-06-13,57,10.67
2025-06-14,56,11.92
2025-06-15,56,11.92
2025-06-16,51,11.91
2025-06-17,51,11.92
2025-06-18,50,11.91
2025-06-19,54,11.92
2025-06-20,53,11.92
2025-06-21,53,11.92
2025-06-22,53,11.91
2025-06-23,53,11.91
2025-06-24,57,11.91
2025-06-25,59,11.92
2025-06-26,58,11.92
2025-06-27,59,11.92
2025-06-28,59,11.91
2025-06-29,56,11.92
2025-06-30,55,11.92
2025-07-01,53,11.91
2025-07-02,53,11.91
2025-07-03,53,11.9
2025-07-04,48,11.93
2025-07-05,51,11.91
2025-07-06,54,11.92
2025-07-07,51,11.92
2025-07-08,50,11.91
2025-07-09,53,11.93
2025-07-10,38,11.93
2025-07-11,36,11.93
2025-07-12,40,11.93
2025-07-13,37,11.91
2025-07-14,39,11.93
2025-07-15,45,11.93
2025-07-16,49,11.93
2025-07-17,49,11.93
2025-07-18,49,11.93
2025-07-19,53,11.93
