date,estimated_units_sold,last_known_price
2025-04-10,21,37.52
2025-04-11,20,37.85
2025-04-12,24,37.8
2025-04-13,20,35.98
2025-04-14,24,37.8
2025-04-15,25,37.52
2025-04-16,20,37.52
2025-04-17,26,34.7
2025-04-18,156,34.7
2025-04-19,166,34.7
2025-04-20,172,34.7
2025-04-21,158,34.7
2025-04-22,161,35.23
2025-04-23,157,29.98
2025-04-24,165,29.98
2025-04-25,169,29.98
2025-04-26,165,29.98
2025-04-27,164,29.98
2025-04-28,166,29.98
2025-04-29,173,29.98
2025-04-30,161,29.98
2025-05-01,170,29.98
2025-05-02,170,29.98
2025-05-03,168,29.98
2025-05-04,161,29.98
2025-05-05,172,29.98
2025-05-06,158,29.98
2025-05-07,152,29.98
2025-05-08,175,29.98
2025-05-09,137,29.98
2025-05-10,122,29.98
2025-05-11,127,29.98
2025-05-12,127,34.7
2025-05-13,141,34.7
2025-05-14,148,34.7
2025-05-15,167,31
2025-05-16,163,38.65
2025-05-17,158,38.62
2025-05-18,158,38.62
2025-05-19,161,38.6
2025-05-20,153,37.08
2025-05-21,157,37.08
2025-05-22,162,36.86
2025-05-23,160,34.7
2025-05-24,163,34.7
2025-05-25,165,34.7
2025-05-26,173,38.59
2025-05-27,179,34.1
2025-05-28,179,34.08
2025-05-29,170,34.1
2025-05-30,169,34.08
2025-05-31,170,34.07
2025-06-01,172,34.12
2025-06-02,187,34.12
2025-06-03,191,37.4
2025-06-04,191,37.79
2025-06-05,212,37.79
2025-06-06,219,37.84
2025-06-07,216,39
2025-06-08,206,39
2025-06-09,213,39
2025-06-10,211,39
2025-06-11,207,39
2025-06-12,204,37.85
2025-06-13,202,37.85
2025-06-14,198,39
2025-06-15,115,39
2025-06-16,103,39
2025-06-17,135,32.9
2025-06-18,214,32.9
2025-06-19,48,32.9
2025-06-20,50,39
2025-06-21,55,39
2025-06-22,56,39
2025-06-23,71,39
2025-06-24,143,39
2025-06-25,240,39
2025-06-26,252,39
2025-06-27,249,39
2025-06-28,262,39
2025-06-29,252,39
2025-06-30,219,39
2025-07-01,219,39
2025-07-02,233,39
2025-07-03,225,39
2025-07-04,229,39
2025-07-05,228,39
2025-07-06,224,39
2025-07-07,218,39
2025-07-08,214,39
2025-07-09,219,36.5
2025-07-10,331,36.5
2025-07-11,327,36.5
2025-07-12,352,39
2025-07-13,350,39
2025-07-14,319,39
2025-07-15,305,39
2025-07-16,293,39
2025-07-17,284,39
2025-07-18,276,39
2025-07-19,267,39
