asin,name,brand,price,rating,total_ratings,file_source,ASIN,ASIN_origin,Amperage Capacity,Amperage Capacity_origin,Batteries Included?,Batteries Included?_origin,Batteries Required?,Batteries Required?_origin,Best Sellers Rank,Best Sellers Rank_origin,BestSellersRank,BestSellersRank_origin,Brand,Brand_origin,Brand Name,Brand Name_origin,Cable Length,Cable Length_origin,CableType,CableType_origin,Color,Color_origin,CompatibleDevices,CompatibleDevices_origin,Conductor_Count,Conductor_Count_origin,Connector Type,Connector Type_origin,ConnectorGender,ConnectorGender_origin,ConnectorType,ConnectorType_origin,Contact Material,Contact Material_origin,ContactMaterial,ContactMaterial_origin,Country of Origin,Country of Origin_origin,CountryofOrigin,CountryofOrigin_origin,Customer Reviews,Customer Reviews_origin,CustomerReviews,CustomerReviews_origin,Date First Available,Date First Available_origin,DateFirstAvailable,DateFirstAvailable_origin,Description,Description_origin,Ethernetcablecategory,Ethernetcablecategory_origin,Extension Length,Extension Length_origin,Finish,Finish_origin,Finish Type,Finish Type_origin,FinishType,FinishType_origin,Gauge,Gauge_origin,Global Trade Identification Number,Global Trade Identification Number_origin,Included Components,Included Components_origin,Included s,Included s_origin,InputCurrent,InputCurrent_origin,Installation Method,Installation Method_origin,InstallationType,InstallationType_origin,Insulation Material,Insulation Material_origin,InsulationMaterial,InsulationMaterial_origin,Is Discontinued By Manufacturer,Is Discontinued By Manufacturer_origin,IsDiscontinuedByManufacturer,IsDiscontinuedByManufacturer_origin,Item Dimensions  LxWxH,Item Dimensions  LxWxH_origin,Item Package Dimensions L x W x H,Item Package Dimensions L x W x H_origin,Item Package Quantity,Item Package Quantity_origin,Item Weight,Item Weight_origin,Item model number,Item model number_origin,ItemWeight,ItemWeight_origin,Itemmodelnumber,Itemmodelnumber_origin,Manufacturer,Manufacturer_origin,Material,Material_origin,Maximum Voltage,Maximum Voltage_origin,Measurement System,Measurement System_origin,Model Name,Model Name_origin,No. of wires,No. of wires_origin,No.ofwires,No.ofwires_origin,Number Of Pieces,Number Of Pieces_origin,Number of Cable Strands,Number of Cable Strands_origin,Number of Items,Number of Items_origin,NumberofCableStrands,NumberofCableStrands_origin,Package Dimensions,Package Dimensions_origin,Package Weight,Package Weight_origin,PackageDimensions,PackageDimensions_origin,Part Number,Part Number_origin,Pattern,Pattern_origin,Plug Format,Plug Format_origin,Power Source,Power Source_origin,Product Dimensions,Product Dimensions_origin,ProductDimensions,ProductDimensions_origin,Shape,Shape_origin,Size,Size_origin,Specification Met,Specification Met_origin,Stud Size,Stud Size_origin,StudSize,StudSize_origin,Style,Style_origin,Suggested Users,Suggested Users_origin,Switch Style,Switch Style_origin,Temperature Rating,Temperature Rating_origin,Terminal,Terminal_origin,UPC,UPC_origin,Unit Count,Unit Count_origin,Usage,Usage_origin,Voltage,Voltage_origin,Wattage,Wattage_origin,certification,certification_origin,color,color_origin,conductor,conductor_origin,current,current_origin,dimensions,dimensions_origin,gauge,gauge_origin,length,length_origin,material,material_origin,package_weight,package_weight_origin,strands,strands_origin,temperature,temperature_origin,variant_size,variant_size_origin,voltage,voltage_origin,voltage_rating,voltage_rating_origin,wire_count,wire_count_origin
B01ANZRXDI,"14-Gauge Automotive Primary Wire Bundle (100ft Each, Red & Black) | Ideal for Car Audio, Automotive, and Trailer | Durable Primary/Remote, Power/Ground Electrical Wiring",BEST CONNECTIONS,29.95,4.7,634.0,B01ANZRXDI_product_details.json,B01ANZRXDI,{'details_table': 'B01ANZRXDI'},,,,,,,,,"#386,305inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,818inElectricalWire","{'details_table': '#386,305inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,818inElectricalWire'}",BESTCONNECTIONS,{'overview': 'BESTCONNECTIONS'},,,,,flexible,{'overview': 'flexible'},"Red,Black","{'overview': 'Red,Black'}",Speaker,{'overview': 'Speaker'},,,,,Genderless,{'overview': 'Genderless'},,,,,,,,,,,,,4.74.7outof5stars634ratings,{'details_table': '4.74.7outof5stars634ratings'},,,"January15,2016","{'details_table': 'January15,2016'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,{'details_table': 'No'},,,,,,,,,,,,,AP-14-100REDBLACK,{'details_table': 'AP-14-100REDBLACK'},Audiopipe/BestConnections,{'details_table': 'Audiopipe/BestConnections'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8x4x3inches;2.15Pounds,{'details_table': '8x4x3inches;2.15Pounds'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,red,{'features': 'red'},,,,,,,18,{'features': '18'},100,{'features': '100'},COPPER,{'features': 'COPPER'},,,,,,,100,{'features': '100'},,,,,,
B0CBB4JFKY,MECCANIXITY 22AWG Ribbon Cable Silicone Wire 5Pin 22 Gauge Ribbon Wire Flat Silicone Cable 15m/50ft Black Stranded Tinned Copper Wire,MECCANIXITY,26.59,4.5,2.0,B0CBB4JFKY_product_details.json,B0CBB4JFKY,{'details_table': 'B0CBB4JFKY'},,,,,,,,,"#434,331inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,996inElectricalWire","{'details_table': '#434,331inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,996inElectricalWire'}",MECCANIXITY,{'overview': 'MECCANIXITY'},,,,,,,,,,,,,,,,,,,,,,,,,China,{'details_table': 'China'},,,4.54.5outof5stars2ratings,{'details_table': '4.54.5outof5stars2ratings'},,,"July7,2023","{'details_table': 'July7,2023'}",,,,,,,,,,,,,⚠️CONFLICT⚠️ 22,"{'variant_info': '22', 'variants': '30'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mea230519ee0784,{'details_table': 'mea230519ee0784'},MECCANIXITY,"{'overview': 'MECCANIXITY', 'details_table': 'MECCANIXITY'}",Silicone,{'overview': 'Silicone'},,,,,,,,,,,,,,,,,MultiStrand,{'overview': 'MultiStrand'},,,,,3.31x3.15x2.56inches;14.82ounces,{'details_table': '3.31x3.15x2.56inches;14.82ounces'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600Volts,{'overview': '600Volts'},,,flame retardant,{'features': 'flame retardant'},Black,"{'from_the_manufacturer': 'Black', 'features': 'Black'}",,,,,,,,,15,{'features': '15'},⚠️CONFLICT⚠️ Silicone,"{'from_the_manufacturer': 'Silicone', 'features': 'silicone'}",,,,,,,15,{'features': '15'},600,{'features': '600'},,,,
B01AV6QBYG,TEMCo Titanium Wire 22 Gauge 25 FT Surgical Grade 1 Resistance AWG ga,Temco,,4.5,72.0,B01AV6QBYG_product_details.json,B01AV6QBYG,{'details_table': 'B01AV6QBYG'},,,,,,,,,"#801,836inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#3,552inElectricalWire","{'details_table': '#801,836inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#3,552inElectricalWire'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54.5outof5stars72ratings,{'details_table': '4.54.5outof5stars72ratings'},,,"January20,2016","{'details_table': 'January20,2016'}",,,,,,,,,,,,,22.0,{'overview': '22.0'},,,,,,,,,,,,,,,,,,,No,{'details_table': 'No'},,,,,,,,,,,0.79ounces,{'details_table': '0.79ounces'},RW0485,{'details_table': 'RW0485'},TEMCo,"{'overview': 'TEMCo', 'details_table': 'TEMCo'}",titanium,{'overview': 'titanium'},,,,,,,,,1,{'overview': '1'},,,,,,,SingleStrand,{'overview': 'SingleStrand'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,{'features': '22'},,,,,,,,,1670,{'features': '1670'},0.64262,{'features': '0.64262'},,,,,,
B08J7WKV6W,22AWG 65.6ft 3 Conductor Extension Cable Wire Cord Line 20m Stranded Tinned Copper 22 Gauge 3Pin Color Wire 12V 24V DC for WS2812b WS2811 Dream Color Led Strip Lights,CARLITS,12.58,4.6,456.0,B08J7WKV6W_product_details.json,B08J7WKV6W,{'details_table': 'B08J7WKV6W'},,,,,,,,,"#262,848inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,278inElectricalWire","{'details_table': '#262,848inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#1,278inElectricalWire'}",CARLITS,{'overview': 'CARLITS'},,,,,,,White,{'overview': 'White'},,,,,,,,,,,,,,,,,,,,,4.64.6outof5stars456ratings,{'details_table': '4.64.6outof5stars456ratings'},,,"September16,2020","{'details_table': 'September16,2020'}",,,,,,,,,,,,,22.0,{'overview': '22.0'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARLITS,{'details_table': 'CARLITS'},Copper,{'overview': 'Copper'},,,,,,,,,,,,,,,,,17,{'overview': '17'},,,,,5.75x5.08x3.03inches;9.52ounces,{'details_table': '5.75x5.08x3.03inches;9.52ounces'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Black,{'features': 'Black'},,,3,{'features': '3'},,,22,"{'from_the_manufacturer': '22', 'features': '22'}",65.6,{'features': '65.6'},tinned copper,"{'from_the_manufacturer': 'tinned copper', 'features': 'tinned copper'}",,,,,,,65.6,{'features': '65.6'},⚠️CONFLICT⚠️ 12,"{'from_the_manufacturer': '12', 'features': '300'}",,,2,{'from_the_manufacturer': '2'}
B00D49VGFM,"Cerro 112-3872J 500-Feet 10-Gauge Stranded THHN, White",Cerrowire,154.0,4.5,29.0,B00D49VGFM_product_details.json,B00D49VGFM,{'details_table': 'B00D49VGFM'},,,No,{'details_table': 'No'},No,{'details_table': 'No'},"#135,202 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #689 in Electrical Wire","{'details_table': '#135,202 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #689 in Electrical Wire'}",,,Cerrowire,"{'overview': 'Cerrowire', 'details_table': 'Cerrowire'}",,,,,,,White,"{'overview': 'White', 'details_table': 'White'}",,,,,,,,,,,,,,,,,,,"4.5  4.5 out of 5 stars    
    29 ratings   


 4.5 out of 5 stars",{'details_table': '4.5  4.5 out of 5 stars    \n    29 ratings   \n\n\n 4.5 out of 5 stars'},,,"May 28, 2013","{'details_table': 'May 28, 2013'}",,,,,,,,,,,,,,,10.0,"{'overview': '10.0', 'details_table': '10.0'}","10048243983824, 00048243983827","{'details_table': '10048243983824, 00048243983827'}",Wire,{'details_table': 'Wire'},,,,,,,,,,,,,,,,,,,,,1,{'details_table': '1'},19.03 pounds,{'details_table': '19.03 pounds'},112-3872J,{'details_table': '112-3872J'},,,,,MARMON HOME IMPROVEMENT PROD,{'details_table': 'MARMON HOME IMPROVEMENT PROD'},Copper,"{'overview': 'Copper', 'details_table': 'Copper'}",,,,,,,,,,,,,1,{'details_table': '1'},,,1,{'overview': '1'},,,,,,,112-3872J,{'details_table': '112-3872J'},,,,,,,6.5 x 6.5 x 6.9 inches,{'details_table': '6.5 x 6.5 x 6.9 inches'},,,,,,,,,,,,,,,,,,,,,,,048243983827,{'details_table': '048243983827'},,,,,600 Volts,{'details_table': '600 Volts'},,,,,,,,,,,,,,,,,PVC,{'features': 'PVC'},,,,,,,,,,,,,,
B0C4P4Z73C,"18AWG 2 Wire Electrical Cord JACKYLED 2 Conductor 10M/32.8ft Wire Cord 18 Gauge Flexible Cable for LED Strips Electrical Wire 12V/24V DC Cable, 18/2 Wire Black and Red",JACKYLED,12.59,4.6,8119.0,B0C4P4Z73C_product_details.json,B0C4P4Z73C,{'details_table': 'B0C4P4Z73C'},,,,,,,"#22,526 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #116 in Electrical Wire","{'details_table': '#22,526 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #116 in Electrical Wire'}",,,JACKYLED,"{'overview': 'JACKYLED', 'details_table': 'JACKYLED'}",,,,,,,⚠️CONFLICT⚠️ Red and Black,"{'overview': 'RedandBlack', 'details_table': 'Red and Black'}",,,,,,,,,,,,,,,China,{'details_table': 'China'},,,"4.6  4.6 out of 5 stars    
    8,119 ratings   


 4.6 out of 5 stars","{'details_table': '4.6  4.6 out of 5 stars    \n    8,119 ratings   \n\n\n 4.6 out of 5 stars'}",,,"May 9, 2023","{'details_table': 'May 9, 2023'}",,,,,,,,,,,,,,,22,"{'variant_info': '22', 'variants': '22'}",,,,,,,,,,,,,,,,,,,,,,,,,,,10.8 ounces,{'details_table': '10.8 ounces'},JACKYLED800,{'details_table': 'JACKYLED800'},,,,,JACKYLED,{'details_table': 'JACKYLED'},Copper,"{'overview': 'Copper', 'details_table': 'Copper'}",,,,,,,2,{'details_table': '2'},,,,,Multi Strand,{'details_table': 'Multi Strand'},,,MultiStrand,{'overview': 'MultiStrand'},6.06 x 6.06 x 1.42 inches,{'details_table': '6.06 x 6.06 x 1.42 inches'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,⚠️CONFLICT⚠️ 300 Volts,"{'overview': '300Volts', 'details_table': '300 Volts'}",,,flame retardant,"{'from_the_manufacturer': 'flame retardant', 'features': 'flame retardant'}",black,{'features': 'black'},2,{'features': '2'},8.5,{'features': '8.5'},,,18,"{'from_the_manufacturer': '18', 'features': '18'}",32.8,{'features': '32.8'},copper,"{'from_the_manufacturer': 'copper', 'features': 'copper'}",,,,,,,32.8,{'features': '32.8'},24,{'features': '24'},,,,
B0BZ42TFK2,FIRMERST 18/2 Low Voltage Landscape Wire Outdoor Lighting Cable 50 Feet,FIRMERST,14.99,4.6,478.0,B0BZ42TFK2_product_details.json,B0BZ42TFK2,{'details_table': 'B0BZ42TFK2'},,,,,,,,,"#68,653inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#363inElectricalWire","{'details_table': '#68,653inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#363inElectricalWire'}",FIRMERST,{'overview': 'FIRMERST'},,,,,,,Black,{'overview': 'Black'},,,,,,,,,,,,,,,,,,,,,4.64.6outof5stars478ratings,{'details_table': '4.64.6outof5stars478ratings'},,,"March21,2023","{'details_table': 'March21,2023'}",,,,,,,,,,,,,18,{'overview': '18'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FIRMERST,{'details_table': 'FIRMERST'},Copper,{'overview': 'Copper'},,,,,,,,,,,,,,,,,MultiStrand,{'overview': 'MultiStrand'},,,,,8.07x8.07x2.01inches;1.43Pounds,{'details_table': '8.07x8.07x2.01inches;1.43Pounds'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UL,{'features': 'UL'},⚠️CONFLICT⚠️ black,"{'from_the_manufacturer': 'black', 'features': 'Black'}",,,,,,,18,{'features': '18'},,,copper,{'from_the_manufacturer': 'copper'},,,,,,,,,300,{'features': '300'},,,,
B08TTT1JD9,"Fence Wire Tightener Wire Tensioner for Fence -Pack of 20,silver",Mingya,,4.5,13.0,B08TTT1JD9_product_details.json,B08TTT1JD9,{'details_table': 'B08TTT1JD9'},,,,,,,,,"#810,565inPatio,Lawn&Garden(SeeTop100inPatio,Lawn&Garden)#2,824inAgriculturalFencing","{'details_table': '#810,565inPatio,Lawn&Garden(SeeTop100inPatio,Lawn&Garden)#2,824inAgriculturalFencing'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.54.5outof5stars13ratings,{'details_table': '4.54.5outof5stars13ratings'},,,"January23,2021","{'details_table': 'January23,2021'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MY-015,{'details_table': 'MY-015'},Mingya,{'details_table': 'Mingya'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11x9.8x5.5inches;7.8Pounds,{'details_table': '11x9.8x5.5inches;7.8Pounds'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0154H7BLE,RGBSIGHT 40FT 18 Gauge RGBW LED Strip Extension Cable 18AWG 5pin 5 Color Stand Electrical Flexible Wire Extension Cord for RGBW RGBWW LED Ribbon Lamp Tape Lighting (40 Feet per Spool),Intotal,23.99,4.6,258.0,B0154H7BLE_product_details.json,B0154H7BLE,{'details_table': 'B0154H7BLE'},,,,,,,,,"#140,185inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#713inElectricalWire","{'details_table': '#140,185inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#713inElectricalWire'}",Intotal,{'overview': 'Intotal'},,,,,,,"Red,White,Blue,Black,Green","{'overview': 'Red,White,Blue,Black,Green'}",,,,,,,,,,,,,,,,,,,,,4.64.6outof5stars258ratings,{'details_table': '4.64.6outof5stars258ratings'},,,"September9,2015","{'details_table': 'September9,2015'}",,,,,,,,,,,,,18.0,{'overview': '18.0'},,,,,,,,,,,,,,,,,,,No,{'details_table': 'No'},,,,,,,,,,,,,RGBSIGHT-1030,{'details_table': 'RGBSIGHT-1030'},RGBSIGHTINC,{'details_table': 'RGBSIGHTINC'},Copper,{'overview': 'Copper'},,,,,,,,,,,,,,,,,MultiStrand,{'overview': 'MultiStrand'},,,,,3.66x3.58x2.68inches;1.19Pounds,{'details_table': '3.66x3.58x2.68inches;1.19Pounds'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,{'features': '3.5'},,,,,,,copper,{'features': 'copper'},,,,,,,,,300,{'features': '300'},,,,
B0D1H6K1X1,"Wirenco 6/3 NM-B, Non-Metallic, Sheathed Cable, Residential Indoor Wire, Used for Wiring Swiches, Outlets and Other Loads with Dry Applications (70Ft Cut)…",wirenco,304.33,5.0,1.0,B0D1H6K1X1_product_details.json,B0D1H6K1X1,{'details_table': 'B0D1H6K1X1'},,,,,,,,,"#552,306inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#2,503inElectricalWire","{'details_table': '#552,306inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#2,503inElectricalWire'}",wirenco,{'overview': 'wirenco'},,,,,,,Black,{'overview': 'Black'},,,,,,,,,,,,,,,,,USA,{'details_table': 'USA'},,,5.05.0outof5stars1rating,{'details_table': '5.05.0outof5stars1rating'},,,"December23,2020","{'details_table': 'December23,2020'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21592-#,{'details_table': '21592-#'},wirenco,{'details_table': 'wirenco'},Copper,{'overview': 'Copper'},,,,,,,,,,,,,,,,,19,{'overview': '19'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600Volts,{'overview': '600Volts'},,,,,,,,,55,{'features': '55'},,,6,{'features': '6'},,,Copper,{'features': 'Copper'},,,,,,,,,,,,,,
B014U90BAA,"uxcell Anti Dust Plug Computer Port Protector, Silicone Anti Dust Cover Cap Port Stopper for Display Port (Pack of 10)",uxcell,6.57,4.6,69.0,B014U90BAA_product_details.json,B014U90BAA,{'details_table': 'B014U90BAA'},,,,,,,,,"#148,277inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#750inElectricalWire","{'details_table': '#148,277inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#750inElectricalWire'}",,,,,,,,,,,,,,,,,,,,,,,,,,,China,{'details_table': 'China'},,,4.64.6outof5stars69ratings,{'details_table': '4.64.6outof5stars69ratings'},,,"September3,2015","{'details_table': 'September3,2015'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,{'details_table': 'No'},,,,,,,,,,,,,a15033100ux0134,{'details_table': 'a15033100ux0134'},uxcell,{'details_table': 'uxcell'},,,,,,,,,,,,,,,,,,,,,,,,,4.13x3.86x0.51inches;0.28ounces,{'details_table': '4.13x3.86x0.51inches;0.28ounces'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,black,{'features': 'black'},,,,,"('17', '7', '6')","{'features': ('17', '7', '6')}",,,,,silicone,{'features': 'silicone'},,,,,,,6,{'features': '6'},,,,,,
B0C7MLQB5L,"RESHAKE 22 Gauge 5 Conductor Wire, 32.8FT 22/5 Tinned Copper 5 Wire Cable,Stranded Electrical Wires for Sprinkler,Thermostat,Trailer,Irrigation,Automotive",RESHAKE,17.95,4.7,542.0,B0C7MLQB5L_product_details.json,B0C7MLQB5L,{'details_table': 'B0C7MLQB5L'},,,,,,,,,"#14,228inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#71inElectricalWire","{'details_table': '#14,228inTools&HomeImprovement(SeeTop100inTools&HomeImprovement)#71inElectricalWire'}",RESHAKE,{'overview': 'RESHAKE'},,,,,,,Black,{'overview': 'Black'},,,3,{'variant_info': '3'},,,,,,,,,,,,,,,,,4.74.7outof5stars542ratings,{'details_table': '4.74.7outof5stars542ratings'},,,"June10,2023","{'details_table': 'June10,2023'}",,,,,,,,,,,,,18,{'variant_info': '18'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KB,{'details_table': 'KB'},TinnedCopper,{'overview': 'TinnedCopper'},,,,,,,,,,,,,,,,,MultiStrand,{'overview': 'MultiStrand'},,,,,7.68x6.02x1.57inches;15.17ounces,{'details_table': '7.68x6.02x1.57inches;15.17ounces'},,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300Volts,{'overview': '300Volts'},,,⚠️CONFLICT⚠️ flame retardant,"{'from_the_manufacturer': 'flame retardant', 'features': 'Flame retardant'}",Black,{'features': 'Black'},⚠️CONFLICT⚠️ 4,"{'from_the_manufacturer': '4', 'features': '5'}",5,{'features': '5'},,,22,"{'from_the_manufacturer': '22', 'features': '22'}",32.8,{'features': '32.8'},⚠️CONFLICT⚠️ tinned copper,"{'from_the_manufacturer': 'tinned copper', 'features': 'PVC'}",,,17,{'features': '17'},,,32.8,{'features': '32.8'},300,{'features': '300'},,,5,{'features': '5'}
B01BEEL8GK,10 AWG Bare Copper Wire 50 Ft Coil Single Solid Copper Wire 99.9% Pure,Copper wire USA,35.5,4.8,82.0,B01BEEL8GK_product_details.json,B01BEEL8GK,{'details_table': 'B01BEEL8GK'},,,No,{'details_table': 'No'},No,{'details_table': 'No'},"#127,187 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #654 in Electrical Wire","{'details_table': '#127,187 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement) #654 in Electrical Wire'}",,,⚠️CONFLICT⚠️ Copper wire USA,"{'overview': 'CopperwireUSA', 'details_table': 'Copper wire USA'}",,,,,,,⚠️CONFLICT⚠️ Bright Natural Copper,"{'overview': 'BrightNaturalCopper', 'details_table': 'Bright Natural Copper'}",,,,,,,,,,,,,,,,,,,"4.8  4.8 out of 5 stars    
    82 ratings   


 4.8 out of 5 stars",{'details_table': '4.8  4.8 out of 5 stars    \n    82 ratings   \n\n\n 4.8 out of 5 stars'},,,"February 2, 2016","{'details_table': 'February 2, 2016'}",,,,,,,,,Polished,{'details_table': 'Polished'},,,,,10.0,"{'overview': '10.0', 'details_table': '10.0'}",,,,,,,,,,,,,,,,,No,{'details_table': 'No'},,,,,,,1,{'details_table': '1'},1.5 pounds,{'details_table': '1.5 pounds'},10G-50F-CHH,{'details_table': '10G-50F-CHH'},,,,,Modern Findings(TM),{'details_table': 'Modern Findings(TM)'},Copper,"{'overview': 'Copper', 'details_table': 'Copper'}",,,,,,,1,{'details_table': '1'},,,1,{'details_table': '1'},Single Strand,{'details_table': 'Single Strand'},,,SingleStrand,{'overview': 'SingleStrand'},,,,,,,10G-50F-CPHH,{'details_table': '10G-50F-CPHH'},,,,,,,5 x 5 x 2 inches,{'details_table': '5 x 5 x 2 inches'},,,Round,{'details_table': 'Round'},10 Ga,{'details_table': '10 Ga'},,,,,,,Bare Copper Pure Wire,{'details_table': 'Bare Copper Pure Wire'},,,,,,,,,619159673753,{'details_table': '619159673753'},,,,,,,,,,,,,,,,,,,,,50,{'features': '50'},Copper,{'features': 'Copper'},,,,,,,50,{'features': '50'},,,,,,
B004ZQ5P64,Jake's Wire Tighteners 1/4in 20ct 1/4,Db Agriscape K An K,32.53,4.6,356.0,B004ZQ5P64_product_details.json,B004ZQ5P64,{'details_table': 'B004ZQ5P64'},,,No,{'details_table': 'No'},No,{'details_table': 'No'},"#74,025 in Patio, Lawn & Garden (See Top 100 in Patio, Lawn & Garden) #285 in Agricultural Fencing","{'details_table': '#74,025 in Patio, Lawn & Garden (See Top 100 in Patio, Lawn & Garden) #285 in Agricultural Fencing'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4.6  4.6 out of 5 stars    
    356 ratings   


 4.6 out of 5 stars",{'details_table': '4.6  4.6 out of 5 stars    \n    356 ratings   \n\n\n 4.6 out of 5 stars'},,,"July 25, 2014","{'details_table': 'July 25, 2014'}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,{'details_table': 'No'},,,,,,,1,{'details_table': '1'},2.35 pounds,{'details_table': '2.35 pounds'},11572,{'details_table': '11572'},,,,,DB AGRISCAPE K AN K,{'details_table': 'DB AGRISCAPE K AN K'},copper,{'details_table': 'copper'},,,,,,,,,,,,,,,,,,,,,,,,,11572,{'details_table': '11572'},,,,,,,8 x 7 x 2 inches,{'details_table': '8 x 7 x 2 inches'},,,,,,,,,,,,,Basic,{'details_table': 'Basic'},,,,,,,,,,,,,Digestive Health,{'details_table': 'Digestive Health'},,,,,,,,,,,,,,,12,{'features': '12'},,,,,,,,,,,,,,,,,,
