date,estimated_units_sold,last_known_price
2025-03-20,13,19.5
2025-03-21,19,19.5
2025-03-22,16,19.5
2025-03-23,20,19.5
2025-03-24,20,19.5
2025-03-25,19,19.5
2025-03-26,13,19.22
2025-03-27,16,19.22
2025-03-28,15,19.22
2025-03-29,15,19.22
2025-03-30,12,19.22
2025-03-31,17,19.22
2025-04-01,13,19.22
2025-04-02,18,19.22
2025-04-03,16,19.22
2025-04-04,18,19.22
2025-04-05,17,19.22
2025-04-06,21,19.22
2025-04-07,18,19.22
2025-04-08,24,19.29
2025-04-09,19,19.29
2025-04-10,15,19.29
2025-04-11,12,24.35
2025-04-12,13,23
2025-04-13,12,22.78
2025-04-14,10,22.78
2025-04-15,13,22.78
2025-04-16,11,23.8
2025-04-17,13,23
2025-04-18,16,22.78
2025-04-19,15,22.78
2025-04-20,16,22.78
2025-04-21,17,22.78
2025-04-22,9,22.78
2025-04-23,11,22.78
2025-04-24,19,22.78
2025-04-25,14,22.78
2025-04-26,14,22.78
2025-04-27,14,22.78
2025-04-28,16,22.78
2025-04-29,14,22.78
2025-04-30,14,22.78
2025-05-01,16,22.78
2025-05-02,10,22.78
2025-05-03,13,22.78
2025-05-04,12,22.78
2025-05-05,6,22.78
2025-05-06,10,22.78
2025-05-07,13,22.78
2025-05-08,11,22.78
2025-05-09,11,22.78
2025-05-10,9,22.78
2025-05-11,11,21.44
2025-05-12,9,22.78
2025-05-13,11,22.78
2025-05-14,8,22.78
2025-05-15,13,22.78
2025-05-16,16,24.35
2025-05-17,17,24.35
2025-05-18,15,21.46
2025-05-19,16,24.35
2025-05-20,14,24.35
2025-05-21,16,24.35
2025-05-22,18,24.35
2025-05-23,16,24.35
2025-05-24,18,24.35
2025-05-25,17,24.35
2025-05-26,18,24.35
2025-05-27,18,24.21
2025-05-28,18,24.24
2025-05-29,17,24.35
2025-05-30,14,24.35
2025-05-31,14,24.35
2025-06-01,14,24.35
2025-06-02,15,24.35
2025-06-03,16,24.35
2025-06-04,17,24.35
2025-06-05,15,24.35
2025-06-06,17,24.35
2025-06-07,16,24.35
2025-06-08,17,24.35
2025-06-09,19,24.35
2025-06-10,19,24.35
2025-06-11,19,24.35
2025-06-12,19,24.35
2025-06-13,20,24.35
2025-06-14,21,24.35
2025-06-15,23,24.35
2025-06-16,15,24.35
2025-06-17,15,24.35
2025-06-18,12,24.35
2025-06-19,11,24.35
2025-06-20,12,24.35
2025-06-21,13,24.35
2025-06-22,11,24.35
2025-06-23,11,24.35
2025-06-24,11,24.35
2025-06-25,11,24.35
2025-06-26,12,23.57
2025-06-27,11,23.57
2025-06-28,12,23.57
2025-06-29,13,23.57
2025-06-30,12,23.57
2025-07-01,10,23.57
2025-07-02,11,23.57
2025-07-03,12,23.57
2025-07-04,12,23.57
2025-07-05,11,23.57
2025-07-06,11,23.57
2025-07-07,10,23.57
2025-07-08,11,23.57
2025-07-09,10,23.57
2025-07-10,15,23.57
2025-07-11,13,23.57
2025-07-12,13,23.57
2025-07-13,12,23.57
2025-07-14,12,23.57
2025-07-15,11,22.19
2025-07-16,12,22.19
2025-07-17,11,22.19
2025-07-18,13,22.19
2025-07-19,13,22.19
