date,estimated_units_sold,last_known_price
2025-03-21,73,25.99
2025-03-22,75,25.99
2025-03-23,71,25.99
2025-03-24,77,25.99
2025-03-25,72,25.99
2025-03-26,73,23.65
2025-03-27,87,23.65
2025-03-28,72,23.65
2025-03-29,76,23.65
2025-03-30,63,23.65
2025-03-31,66,23.68
2025-04-01,67,23.82
2025-04-02,67,24.99
2025-04-03,57,24.99
2025-04-04,67,25.21
2025-04-05,65,25.21
2025-04-06,70,25.21
2025-04-07,56,25.21
2025-04-08,51,25.21
2025-04-09,75,25.21
2025-04-10,66,25.21
2025-04-11,74,25.21
2025-04-12,79,25.21
2025-04-13,71,25.21
2025-04-14,74,25.21
2025-04-15,68,25.21
2025-04-16,77,25.21
2025-04-17,75,25.21
2025-04-18,80,25.21
2025-04-19,82,25.21
2025-04-20,81,24.99
2025-04-21,89,25.21
2025-04-22,92,25.21
2025-04-23,87,25.21
2025-04-24,88,25.21
2025-04-25,76,25.21
2025-04-26,65,25.21
2025-04-27,61,25.21
2025-04-28,64,25.21
2025-04-29,60,25.99
2025-04-30,67,25.99
2025-05-01,67,25.99
2025-05-02,65,25.99
2025-05-03,62,25.22
2025-05-04,63,25.21
2025-05-05,64,25.21
2025-05-06,66,25.21
2025-05-07,71,25.21
2025-05-08,70,25.21
2025-05-09,72,25.21
2025-05-10,67,25.21
2025-05-11,66,24.99
2025-05-12,78,25.21
2025-05-13,71,25.21
2025-05-14,81,25.21
2025-05-15,79,25.21
2025-05-16,96,25.21
2025-05-17,90,25.21
2025-05-18,88,25.21
2025-05-19,85,25.21
2025-05-20,87,25.21
2025-05-21,97,25.21
2025-05-22,94,25.21
2025-05-23,91,25.21
2025-05-24,106,24.99
2025-05-25,95,24.99
2025-05-26,102,23.75
2025-05-27,104,23.75
2025-05-28,103,24.99
2025-05-29,98,24.99
2025-05-30,96,24.97
2025-05-31,99,24.97
2025-06-01,84,24.95
2025-06-02,90,24.95
2025-06-03,85,24.95
2025-06-04,90,24.95
2025-06-05,93,24.95
2025-06-06,94,24.95
2025-06-07,94,24.95
2025-06-08,97,24.95
2025-06-09,95,24.95
2025-06-10,103,24.95
2025-06-11,102,24.95
2025-06-12,95,24.95
2025-06-13,96,24.95
2025-06-14,96,24.95
2025-06-15,97,24.95
2025-06-16,89,24.95
2025-06-17,76,24.95
2025-06-18,77,24.95
2025-06-19,77,24.95
2025-06-20,79,24.95
2025-06-21,81,24.95
2025-06-22,79,24.95
2025-06-23,91,24.95
2025-06-24,89,24.95
2025-06-25,99,24.95
2025-06-26,97,24.95
2025-06-27,98,24.95
2025-06-28,96,24.95
2025-06-29,93,24.93
2025-06-30,82,24.93
2025-07-01,85,24.93
2025-07-02,77,24.93
2025-07-03,84,24.93
2025-07-04,96,24.93
